2025-01-12|08:15:23|Fuel Fill-Up|Shell Gas|-60.45
2025-02-03|12:45:10|Oil Change|Jiffy Lube|-85.00
2025-03-18|09:10:45|Paycheck Deposit|Employer|2200.00
2025-04-22|14:22:30|Brake Replacement|Midas|-300.75
2025-05-10|18:05:12|Parking Fee|City Parking|-20.00
2025-06-14|11:30:00|Tire Rotation|Firestone|-40.00
2025-07-19|16:40:55|Fuel Fill-Up|Exxon|-70.10
2025-08-08|10:15:44|Insurance Payment|Geico|-175.00
2025-09-01|13:50:20|Car Accessories|AutoZone|-115.25
2025-10-11|07:55:33|Fuel Fill-Up|BP Gas|-68.00
2025-11-20|19:22:11|Toll Payment|EZPass|-30.00
2025-12-05|09:00:00|Side Job Income|Client Payment|550.00
2026-01-09|15:18:27|Brake Pads Replacement|Midas|-320.40
2026-01-25|12:00:45|Fuel Fill-Up|Shell Gas|-66.10
2026-02-14|17:35:59|Car Detail|Detail Shop|-140.00
2026-02-28|08:20:14|Fuel Fill-Up|Wawa Gas|-72.55
2026-03-03|14:10:10|Registration Renewal|DMV|-110.00
2026-03-10|11:45:33|Fuel Fill-Up|Exxon|-67.89
2026-03-15|18:25:00|Uber Driving Income|Uber|320.00
2026-03-20|09:30:21|Battery Replacement|AutoZone|-210.00
2026-03-25|13:15:00|Shop Supplies|Home Depot|-180.75
2026-03-28|16:45:10|Client Payment|Custom Work|900.00
2026-04-01|08:15:23|Fuel Fill-Up|Shell Gas|-65.32
2026-04-05|12:45:10|Car Wash|QuickWash|-15.00
2026-04-08|09:10:45|Paycheck Deposit|Employer|2500.00
2026-04-12|14:22:30|Oil Change|Jiffy Lube|-89.99
2026-04-15|18:05:12|Parking Fee|City Parking|-12.00
2026-04-18|11:30:00|Tire Rotation|Firestone|-45.00
2026-04-22|16:40:55|Fuel Fill-Up|Exxon|-70.21
2026-04-26|19:45:56|Electric Bill|PSEG|-345.76